,name,product,location,"Sulfur","Silver","Cadmium","Manganese","Potassium","Vanadium","Cerium","Dysprosium","Gadolinium","Iridium","Lanthanum","Lithium","Neodymium","Scandium","Selenium","Tellurium","Yttrium","Cobalt","Gallium","Strontium","Zirconium","Platinum","Nickel"
20,"crude oil, at production offshore","crude oil, at production offshore",IQ,5.226094030877369e-06,7.87326111791744e-09,7.101614934372037e-10,3.737243757870899e-05,3.477121851740873e-07,2.7621928669446768e-11,1.9253086764841766e-07,2.4746675557879645e-11,2.686426036760798e-09,0.0,9.046884878813326e-08,1.6557234675761962e-11,7.077721205841825e-08,3.4174557879775547e-10,1.7279416625140864e-08,3.223919320348638e-09,9.073781115579368e-11,3.506790675901656e-08,5.8262684032799886e-09,1.7090554916780348e-09,5.309541203794261e-06,2.7650136469846334e-11,1.8200486178807664e-05
21,"heat production, straw, at furnace 300kW","heat, district or industrial, other than natural gas",RER,2.1543097761250222e-06,4.467153611926802e-09,2.433696778540056e-10,2.662042526485241e-06,0.00023768854977624607,9.46593134280846e-12,1.2318733712342819e-08,3.674732705564704e-12,1.7112491527272644e-10,0.0,5.949446742420592e-09,3.789407481583278e-09,4.489741779064175e-09,2.0689285607702176e-11,1.0007696502061392e-08,1.839788052702264e-09,1.3474020035515079e-11,1.4726276316742383e-08,1.757072733841152e-09,4.4580304519248076e-10,1.630278163436637e-07,2.010789579424847e-11,3.083570185987543e-06
22,corrugated board box production,"residual softwood, wet",RER,0.0017074568162313475,3.857616754449396e-06,2.562354552138443e-07,0.0025900886255467207,0.0062710940679966,9.966349220695174e-09,1.5478787173256814e-05,1.589269176877522e-08,2.1091914558016284e-07,0.0,8.34343882124265e-06,6.804927286755327e-07,5.432241000811736e-06,1.965269136681151e-08,8.729876098185595e-06,1.6040377648268714e-06,5.827320365115487e-08,1.0955171056917064e-05,3.1019106728279985e-06,6.188652316652869e-07,0.0003798609194999768,1.3664457577662045e-08,0.004060593611214444
23,"treatment of waste vapour barrier, flame-retarded, municipal incineration","waste vapour barrier, flame-retarded",RoW,-5.935405134210035e-06,-1.1489105194230835e-08,-1.7881795128192394e-09,-1.5203500192027224e-05,-2.407527346599741e-07,-6.955173902942657e-11,-2.2373903794692682e-07,-2.7756153731259675e-10,-3.0313328055876482e-09,0.0,-1.2428275969856067e-07,-4.437463837848946e-11,-7.763291889939446e-08,-2.571546338615568e-10,-1.7440416895197927e-08,-3.2192935123992184e-09,-1.017725645531451e-09,-4.240940174933092e-08,-9.139227902009761e-09,-2.859814573919415e-09,-2.448579887152893e-05,-3.441412820478424e-11,-1.1803461237401886e-05
24,"photovoltaic cell, multi-Si, at plant","photovoltaic cell, multi-Si, at plant",APAC,0.00609683571797429,0.0010718820539547685,5.0180302682840095e-06,0.005838605235749836,0.022580765269668512,1.9517767903944267e-07,8.303310912445805e-05,2.0364283551331658e-07,1.0883511795261551e-06,0.0,5.38688045821977e-05,2.832995523826394e-09,2.6943384974310493e-05,3.881303614443943e-08,3.718059190633759e-05,6.827929293380885e-06,7.466904032800474e-07,3.5042665936773296e-05,1.6436013683255033e-05,1.5675327315155704e-05,0.0005663629527281761,2.5418237616445233e-08,0.007819202223603152
25,"electricity production, hydro, run-of-river","electricity, high voltage",BG,1.820113212360237e-06,4.1613443492751886e-10,2.604827772397482e-11,1.0301907919728874e-05,1.3087265172699167e-08,1.0131550058229133e-12,2.7595444955124267e-08,4.559980279023307e-13,3.861702721244659e-10,0.0,1.2729000233734673e-08,3.137137566475765e-13,1.0201852607143654e-08,5.0721462119494845e-11,1.7407091158759249e-09,3.415490420678085e-10,1.6719927831960704e-12,1.200444078605958e-08,4.2317985064229146e-10,4.655415602246645e-11,2.4794670920200016e-08,4.898902240748848e-12,1.1032039835873284e-05
26,"frit production, for ceramic tile","frit, for ceramic tile",GLO,0.0006535602764175984,5.3206935950429666e-05,2.52673443348068e-06,0.00021808476662086524,0.00010524069454805265,9.827804265073487e-08,1.4237171446791008e-05,4.383300814968567e-08,1.8336812238972928e-07,0.0,9.922750253818189e-06,4.875291051207692e-10,4.4543733447820655e-06,1.6387671632741956e-09,2.7555708814569464e-06,5.056892313605594e-07,1.6072103138655834e-07,2.5376718213582564e-06,1.00917751951511e-06,2.4191816887234573e-06,0.10579308615854166,1.813733930826773e-09,0.0005648544952215888
27,"treatment of non-Fe-Co-metals, from used Li-ion battery, hydrometallurgical processing",manganese,GLO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,"dried roughage store construction, non ventilated","dried roughage store, non ventilated",RoW,0.13408108797286744,0.00021459387273144116,2.01451240745257e-05,0.06079077190937228,0.0015571474520203496,7.835501942711621e-07,0.0002857914805009482,3.005654345017986e-08,3.990142145464086e-06,0.0,0.0001337774064699081,2.3478347544963576e-08,0.00010518510540459735,5.110416164609513e-07,0.0011178555249865435,0.00020508800097458798,1.1020732692582756e-07,0.0008535634057519171,4.27893335893393e-05,5.151773044628441e-05,0.011020327825064584,4.0589599217203416e-07,0.0574962995159821
29,"catalytic converter production, selective catalytic reduction, 200 litre","catalytic converter, selective catalytic reduction, 200 litre",RER,3.902962180641031,0.0001939748434641522,1.5336664147278992e-05,0.7664029161900491,0.0061394339039566835,5.965238180778411e-07,0.003123041479612898,1.1166815281452263e-07,4.368194049946988e-05,0.0,0.0014451936437577622,8.141800573621749e-08,0.0011534531540034194,5.706474340216698e-06,0.0008978654226735246,0.00016555408937478383,4.0944989712004045e-07,0.02505036331050239,0.0010501886678351358,2.1623812389459556e-05,0.03904928575138136,8.942042903910115e-07,28.01193386804448
30,"electricity production, hard coal","electricity, high voltage",IN-MP,8.33941221678841e-06,1.4048872484556096e-08,9.211634381164393e-10,3.47573536052103e-05,5.822081103949795e-06,3.5828908156443e-11,1.398633622383282e-07,1.6487227634383144e-11,1.9520868084638488e-09,0.0,6.560609898510493e-08,2.1765169163468637e-11,5.144349976390989e-08,2.4909812724019904e-10,3.770753754575266e-08,6.971403528065869e-09,6.045316850850079e-11,5.5867091671707284e-08,3.8997830715750307e-08,1.6829767724778323e-09,1.0930827401014303e-06,9.409623970150751e-11,2.0654284294566965e-05
31,"electricity production, hydro, run-of-river","electricity, high voltage",CA-BC,1.895489872156488e-06,9.337547679409177e-10,1.7147364606067406e-10,1.0281643976514726e-05,2.3309965785096026e-08,6.669515141136008e-12,2.759843870396543e-08,4.83718416604005e-13,3.862020962590436e-10,0.0,1.2732510886475652e-08,4.1928982776835573e-13,1.0202445905727093e-08,5.071139607340612e-11,2.312003364056316e-09,4.4628056746332946e-10,1.7736342093056359e-12,1.239627299780183e-08,9.191954944635e-10,1.47961394518183e-10,2.7134991805265685e-08,5.011016551445592e-12,1.1027743452105662e-05
32,"capacitor production, tantalum-, for through-hole mounting","capacitor, tantalum-, for through-hole mounting",GLO,0.3197176144534995,0.011526035724508634,5.1939446187718946e-05,0.16230460037537725,0.003259431200060956,2.020199166053657e-06,0.0017725285659276942,1.0204296727606062e-07,2.477826484638977e-05,0.0,0.0008232170192772322,7.33497849579595e-08,0.0006539420486825131,3.217040796745911e-06,0.0006555108868754811,0.00012026552047502002,3.7415754987804585e-07,0.0024272476055435055,0.00010509954063084985,0.00016053474351209742,0.001331003400703826,2.220689580801262e-06,0.09378081523929957
33,"anhydrite production, burned","anhydrite, burned",RoW,3.0881918447353317e-06,7.056916206605543e-09,5.534393279421107e-10,8.66413611148038e-06,4.900379477599841e-07,2.1526176547861945e-11,3.530894922961202e-08,7.355598174520896e-12,4.91648342039047e-10,0.0,1.6808246817471586e-08,3.2257090691102166e-12,1.292781787699331e-08,6.108891942061273e-11,1.5690305369797844e-08,2.8936410171449435e-09,2.6970526869868982e-11,2.038395514810988e-08,4.829748894880716e-09,1.2146195240569057e-09,3.9904736739176904e-07,4.659988581840075e-11,5.769992908223451e-06
